factionID,factionName,factionColor,startYear,endYear
3SL,Third Star League,#8E926F,3151,
A,Abandoned,#202020,,
AB,Azami Brotherhood,#C76555,3071,3081
AC,Azami Caliphate,#C76555,2450,2516
AE,Amaris Empire,#5D8593,2767,2779
AG,Alliance of Galedon,#EC2027,2302,2319
ALC,Arc-Royal Liberty Coalition,#78B7E3,3151,
AML,Alyina Mercantile League,#00B38C,3151,
AP,Axumite Providence,#877776,2245,
AuC,Aurigan Coalition,#DB472D,2910,
AuD,Aurigan Directorate,#308040,3022,3025
C,Clans,#8E926F,2807,
CBR,Clan Burrock,#714834,2807,3074
CBS,Clan Blood Spirit,#B05739,2807,3085
CC,Capellan Confederation,#1D8542,2367,
CCC,Clan Cloud Cobra,#4D7E77,2807,
CCom,Capellan Commonality,#1D8542,2310,2367
CCY,Clan Coyote,#583822,2807,
CDP,Calderon Protectorate,#AC7355,3066,
CDS,Clan Diamond Shark,#8690A3,2985,3100
CF,Circinus Federation,#5F60A5,2785,3081
CFM,Clan Fire Mandrill,#663D37,2807,3073
CGB,Clan Ghost Bear,#BAE6FB,2807,3060
CGS,Clan Goliath Scorpion,#816A0E,2807,3080
CH,Capellan Hegemony,#1D8542,2270,2310
CHH,Clan Hell's Horses,#FAA61B,2807,
CI,Chainelane Isles,#949D93,,
CIH,Clan Ice Hellion,#A8C1B3,2807,3074
CJF,Clan Jade Falcon,#ABD375,2807,
CMN,Clan Mongoose,#CFBCD1,2807,2868
CNC,Clan Nova Cat,#381715,2807,3143
CoF,Coalition Forces,#DF7E27,3073,3081
CS,ComStar,#F3F3F3,2788,
CSA,Clan Star Adder,#32382F,2807,
CSF,Clan Sea Fox,#8690A3,2807,
CSJ,Clan Smoke Jaguar,#2F2E30,2807,
CSL,Clan Stone Lion,#F2A810,3075,
CSR,Clan Snow Raven,#009690,2807,3083
CSV,Clan Steel Viper,#A3D451,2807,3075
CWF,Clan Wolf,#D9743D,2807,3143
CWM,Clan Widowmaker,#7A6A34,2807,2834
CWV,Clan Wolverine,#7B6248,2807,2823
CWX,Clan Wolf-in-Exile,#D9743D,3057,3151
D,Disputed,#404040,,
DA,Duchy of Andurien,#617274,3030,
DC,Draconis Combine,#EC2027,2319,
DD,Duchy of Don't,,,
DGM,Duchy of Graham-Marik,#9E3C93,3079,3082
DL,Duchy of Liao,#009C55,2315,2367
DO,Duchy of Oriente,#A55EA6,3079,3086
DoO,Duchy of Orloff,#A24D9D,3079,3086
DS,Duchy of Small,#6B8E23,3057,3066
DT,Duchy of Tamarind,#9E3C93,3071,3078
DTA,Duchy of Tamarind-Abbey,#9E3C93,3078,3139
EF,Elysian Fields,#85526A,,3049
EI,Escorpión Imperio,#816A0E,3080,3141
FCF,Federated Commonwealth (FS),#FED600,3028,3067
FCL,Federated Commonwealth (LC),#1861A3,3028,3057
FCo,Ferris Collective,#BFAB78,3087,
FFR,Finmark Free Republic,#5D8593,2779,2792
FO,Federation of Oriente,#A24D9D,2241,2271
FoS,Federation of Skye,#5BAAA2,2299,2341
FR,Free Rasalhague Republic,#4E7AAC,3034,3103
FrR,Fronc Reaches,#7A6D5E,3066,
FS,Federated Suns,#FED600,2317,
FvC,Filtvelt Coalition,#D0C042,3072,
FWL,Free Worlds League,#A55EA6,2271,
GBD,Ghost Bear Dominion,#BAE6FB,3060,3103
GL,Galatean League,#5BAAA2,3144,
